#,"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious, Critical",Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,"Tests/ 
1M pop",Population
,World,4888124,88858,319965,3445,"1,905,261","2,662,898",44764,627,41,,,
,Europe,1797528,16760,163619,780,"781,602","852,307",11376,,,,,
,North America,1711000,26742,104136,1217,"445,705","1,161,159",18026,,,,,
1,USA,1550294,22630,91981,1003,"356,383","1,101,930",16868,4687,278,12300744,37188,330774664
,Asia,818935,20627,25111,377,"471,876","321,948",4583,,,,,
,South America,461197,21015,24115,998,"162,622","274,460",10478,,,,,
2,Russia,290678,8926,2722,91,"70,209","217,747",2300,1992,19,7147014,48977,145927292
3,Spain,278188,469,27709,59,"196,958","53,521",1152,5950,593,3037840,64977,46752703
4,Brazil,255368,14288,16853,735,"100,459","138,056",8318,1202,79,735224,3462,212380932
5,UK,246406,2711,34796,160,N/A,N/A,1559,3632,513,2682716,39542,67844241
6,Italy,225886,451,32007,99,"127,326","66,553",749,3735,529,3041366,50294,60471924
7,France,179927,358,28239,131,"61,728","89,960",1998,2757,433,1384633,21218,65256826
8,Germany,177289,638,8123,74,"154,600","14,566",1133,2117,97,3147771,37584,83752855
9,Turkey,150593,1158,4171,31,"111,577","34,845",903,1788,50,1650135,19591,84230075
10,Iran,122492,2294,7057,69,"95,661","19,774",2294,1461,84,701640,8367,83862642
11,India,100328,4630,3156,131,"39,233","57,939",,73,2,2302792,1671,1378381772
12,Peru,94933,2660,2789,141,"30,306","61,838",866,2884,85,661132,20085,32915899
,Africa,90080,3699,2849,72,"34,879","52,352",285,,,,,
13,China,82954,7,4634,,"78,238",82,8,58,3,,,1439323776
14,Canada,78072,1070,5842,60,"39,228","33,002",502,2071,155,1323371,35100,37702769
15,Saudi Arabia,57345,2593,320,8,"28,748","28,277",237,1650,9,601954,17324,34747330
16,Belgium,55559,279,9080,28,"14,657","31,822",342,4796,784,696840,60157,11583739
17,Mexico,49219,2075,5177,132,"33,329","10,713",378,382,40,172294,1338,128770253
18,Chile,46059,2278,478,28,"20,165","25,416",807,2412,25,381011,19952,19096687
19,Netherlands,44141,146,5694,14,N/A,N/A,323,2577,332,297347,17358,17130492
20,Pakistan,42125,1974,903,30,"11,922","29,300",111,191,4,387335,1758,220356788
21,Qatar,33969,1365,15,,"4,899","29,055",172,11815,5,161695,56241,2875047
22,Ecuador,33582,400,2799,63,"3,433","27,350",186,1907,159,96536,5482,17610231
23,Switzerland,30597,10,1886,5,"27,600","1,111",57,3538,218,345760,39985,8647139
