#,"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious, Critical",Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,"Tests/ 
1M pop",Population
,World,5190496,107085,334173,4934,"2,079,017","2,777,306",45620,666,42.9,,,
,Europe,1848322,17655,166805,1007,"826,641","854,876",10751,,,,,
,North America,1795200,32399,109795,1978,"480,935","1,204,470",19046,,,,,
1,USA,1620902,28179,96354,1418,"382,169","1,142,379",17902,4900,291,13439114,40627,330790544
,Asia,887257,23799,26244,391,"515,737","345,276",4867,,,,,
,South America,548624,28536,28078,1453,"206,440","314,106",10657,,,,,
2,Russia,317554,8849,3099,127,"92,681","221,774",2300,2176,21,7840880,53731,145927804
3,Brazil,310921,17564,20082,1188,"125,960","164,879",8318,1464,95,735224,3462,212393298
4,Spain,280117,593,27940,52,"196,958","55,219",1152,5991,598,3037840,64977,46752851
5,UK,250908,2615,36042,338,N/A,N/A,1559,3698,531,3090566,45552,67847158
6,Italy,228006,642,32486,156,"134,560","60,960",640,3770,537,3243398,53635,60471198
7,France,181826,251,28215,83,"63,858","89,753",1745,2786,432,1384633,21218,65258007
8,Germany,179021,490,8309,39,"158,000","12,712",1016,2137,99,3595059,42923,83755045
9,Turkey,153548,961,4249,27,"114,990","34,309",820,1823,50,1729988,20537,84237509
10,Iran,129341,2392,7249,66,"100,564","21,528",2655,1542,86,746045,8895,83871454
11,India,118226,6198,3584,150,"48,553","66,089",,86,3,2615920,1898,1378492893
12,Peru,108769,4749,3148,124,"43,587","62,034",886,3304,96,736500,22373,32919665
,Africa,101684,4694,3115,105,"40,588","57,981",285,,,,,
13,China,82967,2,4634,,"78,249",84,8,58,3,,,1439323776
14,Canada,81324,1182,6152,121,"41,715","33,457",502,2157,163,1377146,36524,37705478
15,Saudi Arabia,65077,2532,351,12,"36,040","28,686",281,1873,10,651158,18737,34751777
16,Chile,57581,3964,589,45,"23,992","33,000",943,3015,31,426003,22306,19098031
17,Mexico,56594,2248,6090,424,"38,876","11,628",378,439,47,185755,1442,128781349
18,Belgium,56235,252,9186,36,"14,988","32,061",277,4854,793,739146,63807,11584152
