#,"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious, Critical",Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,"Tests/ 
1M pop",Population
19,Pakistan,48091,2193,1017,32,"14,155","32,919",111,218,5,429600,1949,220392002
20,Netherlands,44700,253,5775,27,N/A,N/A,255,2609,337,302395,17652,17130802
21,Qatar,38651,1554,17,1,"7,288","31,346",171,13442,6,175482,61028,2875446
22,Ecuador,35306,452,2939,51,"3,557","28,810",191,2005,167,101580,5768,17612428
23,Belarus,33371,945,185,6,"12,057","21,129",92,3531,20,403236,42672,9449653
24,Sweden,32172,649,3871,40,"4,971","23,330",352,3188,384,209900,20798,10092371
25,Switzerland,30694,36,1898,6,"27,900",896,55,3549,219,361692,41825,8647657
26,Portugal,29912,252,1277,14,"6,452","22,183",93,2933,125,674000,66080,10199821
27,Singapore,29812,448,23,1,"12,117","17,672",10,5100,4,294414,50368,5845265
28,Bangladesh,28511,1773,408,22,"5,602","22,501",1,173,2,214114,1302,164506480
29,UAE,26898,894,237,4,"12,755","13,906",1,2723,24,1600923,162087,9876944
30,Ireland,24391,76,1583,12,"21,060","1,748",54,4946,321,295626,59945,4931601
31,Indonesia,20162,973,1278,36,"4,838","14,046",,74,5,219975,805,273200237
32,Poland,20143,404,972,10,"8,452","10,719",160,532,26,697230,18420,37850989
33,Ukraine,19706,476,579,15,"6,227","12,900",249,450,13,257890,5893,43760843
34,South Africa,19137,1134,369,30,"8,950","9,818",119,323,6,525433,8872,59224262
35,Kuwait,18609,1041,129,5,"5,205","13,275",181,4365,30,261071,61236,4263365
36,Colombia,18330,643,652,22,"4,431","13,247",136,361,13,214536,4221,50822230
37,Romania,17585,198,1156,9,"10,581","5,848",203,913,60,342466,17790,19250875
38,Israel,16683,16,279,,"13,724","2,680",47,1931,32,524584,60716,8640028
39,Japan,16424,39,777,6,"12,672","2,975",195,130,6,261572,2067,126516956
40,Austria,16404,51,633,,"14,951",820,32,1823,70,385637,42845,9000787
41,Egypt,15003,774,696,16,"4,217","10,090",41,147,7,135000,1322,102109848
42,Dominican Republic,13657,180,448,2,"7,366","5,843",113,1260,41,61330,5660,10835780
43,Philippines,13434,213,846,4,"3,000","9,588",81,123,8,267417,2444,109415846
44,Denmark,11182,65,561,7,"9,643",978,23,1931,97,504266,87093,5789998
45,S. Korea,11122,12,264,1,"10,135",723,15,217,5,788684,15385,51264480
46,Serbia,10919,86,237,2,"5,370","5,312",12,1249,27,203799,23315,8741034
47,Panama,10116,139,291,4,"6,245","3,580",72,2349,68,53928,12521,4306982
48,Argentina,9931,648,416,13,"3,032","6,483",171,220,9,116689,2584,45149718
49,Czechia,8754,33,306,2,"5,926","2,522",36,818,29,379750,35468,10706852
,Oceania,8688,2,121,,"8,025",542,10,,,,,
50,Afghanistan,8676,531,193,6,938,"7,545",19,223,5,26707,688,38824552
51,Norway,8309,28,235,1,32,"8,042",14,1534,43,223045,41178,5416564
52,Bahrain,8174,286,12,,"3,873","4,289",9,4825,7,262107,154713,1694155
53,Algeria,7728,186,575,7,"4,062","3,091",22,177,13,,,43759272
54,Kazakhstan,7234,265,35,,"3,843","3,356",31,386,2,591502,31544,18751427
55,Morocco,7211,78,196,2,"4,280","2,735",1,196,5,112997,3065,36861343
56,Australia,7081,2,100,,"6,472",509,9,278,4,1137684,44674,25466640
57,Malaysia,7059,50,114,,"5,796","1,149",10,218,4,481411,14896,32319132
58,Nigeria,7016,339,211,11,"1,907","4,898",7,34,1,40043,195,205528166
59,Moldova,6704,151,233,5,"2,953","3,518",251,1661,58,40565,10053,4034947
60,Finland,6493,50,306,2,"4,800","1,387",22,1172,55,160177,28914,5539799
61,Oman,6370,327,31,1,"1,821","4,518",31,1251,6,72000,14143,5091036
62,Ghana,6269,,31,,"1,898","4,340",8,202,1,187929,6063,30996750
63,Armenia,5606,335,70,3,"2,581","2,955",10,1892,24,45822,15467,2962649
64,Bolivia,4919,438,199,10,553,"4,167",3,422,17,14803,1270,11654953
65,Cameroon,4288,555,156,10,"1,808","2,324",28,162,6,,,26466746
66,Luxembourg,3980,9,109,,"3,741",130,6,6370,174,64981,104002,624808
67,Iraq,3877,153,140,6,"2,483","1,254",,97,3,149701,3732,40115676
68,Azerbaijan,3749,118,44,1,"2,340","1,365",42,370,4,252496,24928,10129036
69,Hungary,3641,43,473,3,"1,509","1,659",27,377,49,147511,15266,9662923
70,Sudan,3138,410,121,10,309,"2,708",,72,3,281,6,43727573
71,Honduras,3100,145,151,4,355,"2,594",13,314,15,11315,1144,9886537
72,Guinea,3067,204,18,,"1,575","1,474",18,234,1,10304,787,13089690
73,Thailand,3037,3,56,,"2,897",84,61,44,0.8,328073,4701,69781150
74,Uzbekistan,2964,25,13,,"2,407",544,5,89,0.4,460000,13767,33413938
75,Greece,2853,3,168,2,"1,374","1,311",21,274,16,144078,13816,10428331
76,Senegal,2812,98,33,3,"1,251","1,528",6,168,2,24599,1474,16690729
77,Bosnia and Herzegovina,2350,12,140,4,"1,596",614,4,716,43,56997,17362,3282920
78,Tajikistan,2350,210,44,3,470,"1,836",,247,5,,,9512290
79,Bulgaria,2331,39,120,4,727,"1,484",31,335,17,70155,10089,6953796
80,Ivory Coast,2301,70,29,,"1,100","1,172",,87,1,21069,801,26300113
81,Guatemala,2265,132,45,2,159,"2,061",5,127,3,20820,1165,17877078
82,Croatia,2237,3,97,1,"1,978",162,9,545,24,58091,14141,4107874
83,Djibouti,2047,219,10,1,"1,055",982,,2075,10,21156,21448,986363
84,Cuba,1908,8,80,1,"1,603",225,5,168,7,89031,7860,11327348
85,North Macedonia,1898,40,111,1,"1,378",409,21,911,53,23316,11191,2083383
86,DRC,1835,104,61,,303,"1,471",,21,0.7,,,89226763
87,Iceland,1803,,10,,"1,790",3,,5287,29,58225,170748,341000
88,Estonia,1800,6,64,,"1,488",248,2,1357,48,73732,55586,1326440
89,El Salvador,1640,69,33,2,544,"1,063",26,253,5,65226,10062,6482643
90,Somalia,1594,21,61,,204,"1,329",2,101,4,,,15839369
91,Lithuania,1593,16,61,1,"1,049",483,17,584,22,253004,92810,2726052
92,Gabon,1567,,12,,365,"1,190",6,706,5,8622,3885,2219485
93,New Zealand,1503,,21,,"1,452",30,1,312,4,244838,50818,4817906
94,Slovakia,1502,6,28,,"1,245",229,3,275,5,151778,27801,5459361
95,Mayotte,1475,,19,,894,562,11,5422,70,5200,19116,272030
96,Slovenia,1468,,106,1,"1,340",22,3,706,51,74228,35705,2078908
97,Kyrgyzstan,1313,43,14,,923,376,5,202,2,94441,14503,6511813
98,Maldives,1216,30,4,,91,"1,121",9,2254,7,11775,21828,539443
99,Kenya,1109,80,50,,375,684,1,21,0.9,52507,979,53631400
100,Guinea-Bissau,1109,20,6,,42,"1,061",,565,3,1500,764,1962465
101,Hong Kong,1064,8,4,,"1,029",31,1,142,0.5,168291,22468,7490261
102,Sri Lanka,1048,20,9,,604,435,1,49,0.4,47521,2220,21403517
103,Tunisia,1046,1,47,,883,116,3,89,4,45308,3838,11804800
104,Latvia,1025,9,22,1,694,309,2,543,12,94621,50109,1888294
105,Lebanon,1024,63,26,,663,335,3,150,4,67510,9886,6828619
106,Albania,969,5,31,,771,167,3,337,11,12759,4433,2878129
107,Mali,947,16,60,5,558,329,,47,3,3483,173,20179688
108,Niger,924,4,60,2,753,111,,38,2,5949,247,24095961
109,Cyprus,923,1,17,,561,345,10,765,14,95349,79036,1206392
110,Costa Rica,903,6,10,,592,301,3,177,2,21929,4309,5088953
111,Equatorial Guinea,903,13,10,3,22,871,,646,7,854,611,1397254
112,Venezuela,882,58,10,,262,610,2,31,0.4,697691,24528,28444376
113,Zambia,866,34,7,,302,557,1,47,0.4,19432,1061,18321393
114,Paraguay,836,3,11,,256,569,,117,2,21987,3087,7122661
115,Burkina Faso,812,3,52,,669,91,,39,2,,,20833816
116,Andorra,762,,51,,639,72,3,9864,660,3750,48542,77252
117,Uruguay,749,3,20,,594,135,4,216,6,36537,10522,3472430
,,721,,15,,651,55,4,,,,,
118,Georgia,721,8,12,,485,224,6,181,3,44098,11052,3989972
119,Diamond Princess,712,,13,,651,48,4,,,,,
120,Jordan,684,12,9,,457,218,5,67,0.9,156663,15371,10191845
121,Haiti,663,67,22,,21,620,,58,2,2270,199,11386865
122,San Marino,658,2,41,,235,382,1,19397,1209,3779,111399,33923
123,Malta,599,15,6,,468,125,1,1357,14,56224,127372,441416
124,Chad,588,23,58,1,186,344,,36,4,,,16368402
125,Sierra Leone,585,15,35,1,205,345,,74,4,,,7957977
126,Channel Islands,558,,45,,508,5,,3213,259,5342,30757,173685
127,Jamaica,529,9,9,,171,349,,179,3,9021,3048,2959765
128,Tanzania,509,,21,,183,305,7,9,0.4,,,59527001
129,South Sudan,481,191,4,,4,473,,43,0.4,3356,300,11178970
130,Congo,469,49,16,1,137,316,,85,3,,,5501846
131,Nepal,457,30,3,1,49,405,1,16,0.1,117431,4039,29076092
132,Réunion,449,2,1,,411,37,2,502,1,17200,19226,894609
133,Taiwan,441,1,7,,407,27,,19,0.3,70338,2954,23812157
134,CAR,436,18,,,18,418,,90,,11294,2343,4820066
135,Palestine,423,25,2,,346,75,,83,0.4,44876,8821,5087326
136,Madagascar,405,34,2,,131,272,1,15,0.07,5670,205,27605453
137,Ethiopia,399,10,5,,123,271,,3,0.04,69519,607,114622829
138,Cabo Verde,356,7,3,,95,258,,641,5,892,1606,555311
139,Togo,354,14,12,,118,224,,43,1,14767,1789,8255653
140,Isle of Man,336,,24,,303,9,2,3954,282,4353,51221,84984
141,Mauritius,332,,10,,322,0,,261,8,98075,77131,1271542
142,Montenegro,324,,9,,314,1,2,516,14,10167,16188,628058
143,Vietnam,324,,,,264,60,2,3,,275000,2828,97241403
144,Rwanda,320,6,,,217,103,,25,,54400,4213,12913795
145,Nicaragua,279,25,17,,199,63,,42,3,,,6615686
146,Sao Tome and Principe,251,,8,,4,239,,1148,37,175,800,218686
147,French Guiana,249,12,1,,137,111,,836,3,,,297751
148,Liberia,240,2,23,,131,86,,48,5,,,5043542
149,Eswatini,220,3,2,,112,106,,190,2,4994,4310,1158822
150,Myanmar,199,,6,,108,85,,4,0.1,16550,304,54369777
151,Yemen,197,13,33,3,5,159,,7,1,120,4,29748378
152,Martinique,192,,14,,91,87,,512,37,,,375296
153,Faeroe Islands,187,,,,187,0,,3829,,9084,185984,48843
154,Mauritania,173,32,5,1,7,161,,37,1,2583,557,4634928
155,Mozambique,162,6,,,48,114,,5,,7063,227,31149023
156,Uganda,160,,,,66,94,,4,,78953,1733,45562477
157,Guadeloupe,155,,13,,109,33,3,387,32,2866,7163,400117
158,Gibraltar,151,2,,,146,5,,4482,,5833,173127,33692
159,Brunei,141,,1,,136,4,2,323,2,18010,41212,437013
160,Mongolia,140,,,,26,114,27,43,,11750,3591,3272228
161,Benin,135,5,3,1,61,71,,11,0.2,26792,2217,12084945
162,Guyana,127,2,10,,57,60,3,162,13,1329,1691,786139
163,Bermuda,125,,9,,80,36,2,2006,144,5784,92838,62302
164,Cambodia,123,1,,,122,1,,7,,15572,933,16692685
165,Cayman Islands,121,10,1,,55,65,,1844,15,7959,121262,65635
166,Trinidad and Tobago,116,,8,,107,1,,83,6,2805,2005,1398999
167,Aruba,101,,3,,95,3,4,946,28,2048,19191,106717
168,Bahamas,97,,11,,44,42,1,247,28,1910,4862,392826
169,Monaco,97,,4,,90,3,1,2474,102,,,39211
170,Barbados,90,,7,,70,13,4,313,24,4438,15445,287337
171,Liechtenstein,82,,1,,55,26,,2151,26,900,23612,38116
172,Sint Maarten,77,,15,,54,8,7,1798,350,425,9925,42821
173,Malawi,72,1,3,,27,42,1,4,0.2,1803,95,19070499
174,Libya,71,2,3,,35,33,,10,0.4,4351,634,6860692
175,French Polynesia,60,,,,60,0,,214,,3686,13130,280731
176,Angola,58,6,3,,17,38,,2,0.09,6136,187,32740203
177,Syria,58,,3,,36,19,,3,0.2,,,17449901
178,Zimbabwe,51,3,4,,18,29,,3,0.3,28019,1888,14838265
179,Macao,45,,,,45,0,,69,,,,648331
180,Burundi,42,,1,,20,21,,4,0.08,284,24,11847387
181,Saint Martin,40,,3,,33,4,1,1037,78,,,38590
182,Eritrea,39,,,,39,0,,11,,,,3540846
183,Comoros,34,,1,,8,25,,39,1,,,867421
184,Botswana,29,4,1,,19,9,,12,0.4,14855,6332,2346068
185,Antigua and Barbuda,25,,3,,19,3,1,256,31,183,1870,97839
186,Gambia,24,,1,,13,10,,10,0.4,1476,613,2408415
187,Timor-Leste,24,,,,24,0,,18,,738,561,1315521
188,Grenada,22,,,,17,5,4,196,,3007,26737,112466
189,Bhutan,21,,,,6,15,,27,,14527,18850,770656
190,Laos,19,,,,14,5,,3,,4812,662,7263530
191,Belize,18,,2,,16,0,,45,5,1363,3435,396791
192,Fiji,18,,,,15,3,,20,,1300,1451,895730
193,Namibia,18,2,,,14,4,,7,,2586,1020,2535571
194,New Caledonia,18,,,,18,0,,63,,5454,19124,285193
195,Saint Lucia,18,,,,18,0,,98,,786,4283,183536
196,St. Vincent Grenadines,18,,,,14,4,,162,,175,1578,110902
197,Curaçao,16,,1,,14,1,,98,6,485,2957,164020
198,Dominica,16,,,,16,0,,222,,433,6017,71967
199,Saint Kitts and Nevis,15,,,,15,0,,282,,391,7355,53158
200,Falkland Islands,13,,,,13,0,,3749,,426,122837,3468
201,Turks and Caicos,12,,1,,10,1,,310,26,109,2820,38658
202,Vatican City,12,,,,2,10,,14981,,,,801
203,Montserrat,11,,1,,10,0,,2204,200,36,7212,4992
204,Suriname,11,,1,,9,1,,19,2,404,689,586049
205,Greenland,11,,,,11,0,,194,,1767,31132,56759
206,Seychelles,11,,,,11,0,,112,,,,98280
207,MS Zaandam,9,,2,,,7,,,,,,
208,British Virgin Islands,8,,1,,6,1,,265,33,167,5528,30209
209,Papua New Guinea,8,,,,8,0,,1,,2402,269,8927298
210,Caribbean Netherlands,6,,,,6,0,,229,,357,13628,26196
211,St. Barth,6,,,,6,0,,608,,,,9874
212,Western Sahara,6,,,,6,0,,10,,,,595583
213,Anguilla,3,,,,3,0,,200,,,,14988
214,Lesotho,1,,,,,1,,0,,,,2140374
215,Saint Pierre Miquelon,1,,,,1,0,,173,,,,5797
,Total:,887257,23799,26244,391,"515,737","345,276",4867,,,,,
,Total:,1795200,32399,109795,1978,"480,935","1,204,470",19046,,,,,
,Total:,1848322,17655,166805,1007,"826,641","854,876",10751,,,,,
,Total:,548624,28536,28078,1453,"206,440","314,106",10657,,,,,
,Total:,101684,4694,3115,105,"40,588","57,981",285,,,,,
,Total:,8688,2,121,,"8,025",542,10,,,,,
,Total:,721,,15,,651,55,4,,,,,
,Total:,5190496,107085,334173,4934,"2,079,017","2,777,306",45620,666,42.9,,,
