#,"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious, Critical",Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,"Tests/ 
1M pop",Population
,World,5494455,96505,346434,2826,"2,299,345","2,848,676",53224,705,44.4,,,
,Europe,1901749,15849,169844,569,"882,607","849,298",9977,,,,,
,North America,1877349,25508,114169,899,"559,981","1,203,199",18270,,,,,
1,USA,1686436,19608,99300,617,"451,702","1,135,434",17135,5098,300,14749756,44587,330806424
,Asia,960418,24085,27455,387,"559,585","373,378",13789,,,,,
,South America,631840,26874,31472,882,"242,187","358,181",10855,,,,,
2,Brazil,363618,16220,22716,703,"149,911","190,991",8318,1712,107,735224,3461,212405664
3,Russia,344481,8599,3541,153,"113,299","227,641",2300,2361,24,8685305,59518,145928315
4,Spain,282852,482,28752,74,"196,958","57,142",854,6050,615,3556567,76071,46752999
5,UK,259559,2405,36793,118,N/A,N/A,1559,3825,542,3458905,50979,67850075
6,Italy,229858,531,32785,50,"140,479","56,594",553,3801,542,3447012,57003,60470472
7,France,182584,115,28367,35,"64,617","89,600",1655,2798,435,1384633,21217,65259187
8,Germany,180328,342,8371,5,"160,300","11,657",889,2153,100,3595059,42922,83757235
9,Turkey,156827,1141,4340,32,"118,694","33,793",769,1862,52,1832262,21749,84244944
10,India,138536,7113,4024,156,"57,692","76,820",8944,100,3,2943421,2135,1378604014
11,Iran,135701,2180,7417,58,"105,801","22,483",2615,1618,88,800519,9544,83880266
12,Peru,119959,4205,3456,83,"49,795","66,708",920,3644,105,820967,24936,32923430
,Africa,113656,4186,3356,89,"46,269","64,031",323,,,,,
13,Canada,84699,1078,6424,69,"43,985","34,290",502,2246,170,1459288,38700,37708187
14,China,82974,3,4634,,"78,261",79,8,58,3,,,1439323776
15,Saudi Arabia,72560,2399,390,11,"43,520","28,650",372,2088,11,703534,20242,34756224
16,Chile,69102,3709,718,45,"28,148","40,236",1090,3618,38,471758,24700,19099374
17,Mexico,65856,3329,7179,190,"44,919","13,758",378,511,56,215656,1674,128792446
18,Belgium,57092,282,9280,43,"15,272","32,540",256,4928,801,781284,67442,11584564
19,Pakistan,54601,2164,1133,32,"17,198","36,270",111,248,5,473607,2149,220427217
20,Netherlands,45236,172,5822,11,N/A,N/A,223,2641,340,313755,18315,17131112
21,Qatar,43714,1501,23,2,"9,170","34,521",188,15200,8,188143,65422,2875845
22,Ecuador,36756,498,3108,12,"3,560","30,088",208,2087,176,106079,6022,17614626
23,Belarus,36198,954,199,5,"14,155","21,844",92,3831,21,450627,47687,9449627
24,Bangladesh,33610,1532,480,28,"6,901","26,229",1,204,3,243583,1481,164519918
25,Sweden,33459,271,3998,6,"4,971","24,490",249,3315,396,209900,20797,10092886
26,Singapore,31616,548,23,,"14,876","16,717",8,5408,4,294414,50365,5845641
27,Switzerland,30736,11,1906,1,"28,100",730,50,3554,220,370464,42837,8648175
28,Portugal,30623,152,1316,14,"17,549","11,758",78,3002,129,689705,67621,10199578
29,UAE,29485,781,245,1,"15,056","14,184",1,2985,25,1600923,162071,9877923
30,Ireland,24639,57,1608,4,"21,060","1,971",54,4996,326,295626,59940,4932053
31,South Africa,22583,1240,429,22,"11,100","11,054",128,381,7,583855,9857,59230390
32,Indonesia,22271,526,1372,21,"5,402","15,497",,82,5,248555,910,273223931
33,Poland,21326,395,996,3,"9,194","11,136",160,563,26,767441,20276,37850650
34,Kuwait,21302,838,156,8,"6,117","15,029",177,4996,37,271089,63578,4263883
35,Colombia,21175,998,727,22,"5,016","15,432",136,417,14,252742,4973,50826673
36,Ukraine,20986,406,617,12,"7,108","13,261",256,480,14,285626,6527,43758701
37,Romania,18070,213,1185,9,"11,399","5,486",188,939,62,368482,19142,19249829
38,Egypt,17265,752,764,29,"4,807","11,694",41,169,7,135000,1322,102125693
39,Israel,16717,5,279,,"14,153","2,285",45,1818,30,537489,58438,9197590
40,Japan,16550,14,820,12,"13,413","2,317",168,131,6,271201,2144,126513796
41,Austria,16503,17,640,1,"15,063",800,29,1833,71,401857,44645,9001207
42,Dominican Republic,14801,379,458,,"8,133","6,210",113,1366,42,65355,6031,10836671
43,Philippines,14035,258,868,5,"3,249","9,918",81,128,8,295593,2701,109427802
44,Argentina,12076,723,452,7,"3,732","7,892",171,267,10,129418,2866,45153114
45,Denmark,11360,71,562,1,"9,900",898,21,1962,97,537742,92872,5790165
46,S. Korea,11190,25,266,,"10,213",711,15,218,5,820289,16001,51264841
47,Serbia,11159,67,238,,"5,857","5,064",12,1277,27,217856,24924,8740747
48,Panama,10926,349,306,7,"6,279","4,341",72,2536,71,58240,13520,4307539
49,Afghanistan,10582,584,218,2,"1,075","9,289",19,273,6,30052,774,38831756
50,Bahrain,9138,336,14,1,"4,587","4,537",8,5392,8,276552,163192,1694642
51,Czechia,8955,65,315,1,"6,078","2,562",29,836,29,399896,37349,10707014
,Oceania,8722,3,123,,"8,065",534,6,,,,,
52,Norway,8352,6,235,,"7,727",390,12,1542,43,229769,42417,5416911
53,Kazakhstan,8322,403,35,,"4,352","3,935",31,444,2,657214,35045,18753268
54,Algeria,8306,193,600,8,"4,784","2,922",22,190,14,,,43765771
55,Nigeria,7839,313,226,5,"2,263","5,350",7,38,1,44458,216,205570171
56,Oman,7770,513,37,1,"1,933","5,800",31,1526,7,72000,14140,5092104
57,Morocco,7433,27,199,1,"4,703","2,531",1,202,5,142882,3876,36864928
58,Malaysia,7245,60,115,,"5,945","1,185",9,224,4,507682,15707,32322531
59,Australia,7114,3,102,,"6,508",504,5,279,4,1224627,48083,25469064
