#,"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious, Critical",Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,"Tests/ 
1M pop",Population
60,Moldova,7093,99,250,8,"3,713","3,130",286,1758,62,40565,10054,4034871
61,Ghana,6683,66,32,1,"1,998","4,653",16,216,1,193705,6248,31002078
62,Armenia,6661,359,81,4,"3,064","3,516",10,2248,27,50397,17011,2962695
63,Finland,6579,11,307,1,"4,800","1,472",19,1188,55,166900,30127,5539869
64,Bolivia,5915,336,240,10,609,"5,066",3,507,21,14803,1270,11656259
65,Cameroon,4890,490,165,6,"1,865","2,860",28,185,6,,,26472178
66,Iraq,4469,197,160,8,"2,738","1,571",,111,4,186885,4658,40123092
67,Azerbaijan,4122,140,49,,"2,607","1,466",42,407,5,270739,26727,10129784
68,Luxembourg,3992,2,110,1,"3,767",115,7,6388,176,67729,108385,624891
69,Honduras,3743,266,174,7,455,"3,114",13,379,18,11820,1195,9887829
70,Hungary,3741,28,486,4,"1,690","1,565",28,387,50,162925,16861,9662723
71,Sudan,3628,250,146,9,424,"3,058",,83,3,401,9,43735987
72,Guinea,3275,99,20,,"1,673","1,582",24,250,2,14407,1100,13092620
73,Uzbekistan,3164,49,13,,"2,565",586,4,95,0.4,460000,13765,33417915
74,Guatemala,3054,311,55,4,244,"2,755",5,171,3,25464,1424,17879798
75,Senegal,3047,71,35,1,"1,456","1,556",12,183,2,35016,2097,16694358
76,Thailand,3040,,56,,"2,921",63,61,44,0.8,328073,4701,69782581
77,Tajikistan,2929,191,46,2,"1,301","1,582",,308,5,,,9514051
78,Greece,2878,2,171,,"1,374","1,333",19,276,16,153963,14765,10427916
79,Bulgaria,2427,19,130,4,840,"1,457",29,349,19,74096,10656,6953369
80,Bosnia and Herzegovina,2401,10,144,3,"1,680",577,4,731,44,59532,18135,3282754
81,Ivory Coast,2376,10,30,,"1,219","1,127",,90,1,23444,891,26305483
82,Djibouti,2270,,10,,"1,064","1,196",,2301,10,22097,22400,986480
83,Croatia,2244,1,99,,"2,027",118,6,546,24,61482,14968,4107668
84,DRC,2141,116,63,,317,"1,761",,24,0.7,,,89249182
85,North Macedonia,1978,37,113,,"1,422",443,21,949,54,25270,12129,2083382
86,Cuba,1941,10,82,1,"1,689",170,3,171,7,94060,8304,11327291
87,Gabon,1934,,12,,459,"1,463",10,871,5,9908,4463,2219916
88,El Salvador,1915,96,35,2,594,"1,286",25,295,5,72616,11201,6482911
89,Estonia,1823,2,64,,"1,532",227,1,1374,48,75779,57129,1326447
90,Iceland,1804,,10,,"1,791",3,,5290,29,58225,170739,341018
91,Lithuania,1623,7,63,,"1,138",422,17,595,23,267719,98219,2725743
92,Somalia,1594,,61,,204,"1,329",2,101,4,,,15843017
93,Mayotte,1587,66,20,1,894,673,11,5833,74,5200,19112,272084
94,Slovakia,1509,5,28,,"1,301",180,1,276,5,158414,29017,5459382
95,New Zealand,1504,,21,,"1,456",27,1,312,4,259152,53786,4818226
96,Slovenia,1468,,107,1,"1,340",21,4,706,51,75110,36130,2078910
97,Kyrgyzstan,1403,38,14,,980,409,5,215,2,98281,15091,6512696
98,Maldives,1371,58,4,,144,"1,223",9,2541,7,11775,21825,539521
99,Kenya,1214,22,51,1,383,780,1,23,1,59260,1105,53641131
100,Sri Lanka,1141,52,9,,674,458,1,53,0.4,53092,2480,21404252
101,Venezuela,1121,111,10,,262,849,2,39,0.4,804004,28266,28443719
102,Lebanon,1114,17,26,,688,400,4,163,4,74224,10870,6828370
103,Guinea-Bissau,1114,,6,,42,"1,066",,568,3,1500,764,1962847
104,Hong Kong,1066,,4,,"1,030",32,1,142,0.5,202930,27091,7490759
105,Tunisia,1048,,48,1,914,86,3,89,4,47649,4036,11805813
106,Latvia,1047,1,22,,712,313,2,555,12,99049,52459,1888124
107,Mali,1030,15,65,2,597,368,,51,3,3483,173,20184488
108,Albania,998,9,32,1,789,177,5,347,11,13279,4614,2878103
109,Equatorial Guinea,960,,11,,165,784,,687,8,854,611,1397634
110,Niger,945,2,61,,783,101,,39,3,5989,248,24103187
111,Cyprus,935,8,17,,594,324,10,775,14,99733,82666,1206464
112,Costa Rica,930,12,10,,620,300,3,183,2,23378,4594,5089334
113,Zambia,920,,7,,336,577,1,50,0.4,20011,1092,18325629
114,Haiti,865,53,26,1,22,817,,76,2,2718,239,11388004
115,Paraguay,862,12,11,,307,544,,121,2,24812,3483,7123379
116,Burkina Faso,814,,52,,672,90,,39,2,,,20838531
117,Uruguay,769,5,22,,618,129,5,221,6,38146,10985,3472528
118,Andorra,762,,51,,653,58,3,9864,660,3750,48542,77253
119,Georgia,730,2,12,,522,196,6,183,3,48565,12172,3989910
,,721,,15,,651,55,4,,,,,
120,Diamond Princess,712,,13,,651,48,4,,,,,0
121,Jordan,708,4,9,,471,228,5,69,0.9,163173,16009,10192674
122,Sierra Leone,707,86,40,1,241,426,,89,5,,,7959309
123,Chad,675,27,60,,215,400,,41,4,,,16372282
124,San Marino,665,,42,,266,357,1,19603,1238,3968,116967,33924
125,South Sudan,655,,8,,6,641,,59,0.7,3356,300,11180046
126,Malta,610,1,6,,476,128,1,1382,14,60812,137763,441426
127,CAR,604,52,1,,22,581,,125,0.2,11570,2400,4820755
128,Nepal,603,19,3,,87,513,,21,0.1,138841,4774,29080393
129,Ethiopia,582,88,5,,152,425,,5,0.04,81010,707,114646241
130,Channel Islands,558,,45,,517,-4,,3212,259,10255,59039,173698
131,Jamaica,550,6,9,,200,341,1,186,3,9923,3353,2959871
132,Madagascar,527,39,2,,142,383,6,19,0.07,5670,205,27611307
133,Tanzania,509,,21,,183,305,7,9,0.4,,,59541003
134,Congo,487,,16,,147,324,,88,3,,,5502963
135,Réunion,452,,1,,411,40,2,505,1,17200,19225,894662
136,Taiwan,441,,7,,414,20,,19,0.3,70697,2969,23812509
137,Palestine,423,,3,,357,63,,83,0.6,44876,8819,5088300
138,Togo,381,8,12,,141,228,,46,1,16747,2028,8257247
139,Cabo Verde,380,9,3,,155,222,,684,5,1307,2353,555360
140,Isle of Man,336,,24,,303,9,2,3953,282,4523,53219,84988
141,Mauritius,334,2,10,,322,2,,263,8,102247,80411,1271559
142,French Guiana,328,49,1,,145,182,,1101,3,,,297814
143,Rwanda,327,2,,,237,90,,25,,58477,4527,12916434
144,Vietnam,325,1,,,267,58,2,3,,275000,2828,97248575
145,Montenegro,324,,9,,315,0,,516,14,10167,16188,628058
146,Nicaragua,279,,17,,199,63,,42,3,,,6616331
147,Liberia,265,10,26,,139,100,,53,5,,,5044519
148,Sao Tome and Principe,251,,8,,4,239,,1148,37,175,800,218720
149,Eswatini,250,12,2,,156,92,,216,2,4994,4309,1158921
150,Mauritania,237,10,6,,15,216,,51,1,2583,557,4635933
151,Yemen,222,10,42,3,10,170,,7,1,120,4,29753775
152,Myanmar,201,,6,,122,73,,4,0.1,18644,343,54372762
153,Uganda,198,,,,68,130,,4,,84975,1865,45574375
154,Martinique,197,,14,,91,92,,525,37,,,375293
155,Mozambique,194,26,,,51,143,,6,,8463,272,31156229
156,Benin,191,56,3,,82,106,,16,0.2,27954,2313,12087557
157,Faeroe Islands,187,,,,187,0,,3829,,9178,187904,48844
158,Guadeloupe,161,5,14,1,115,32,3,402,35,3573,8930,400117
159,Gibraltar,154,2,,,147,7,,4571,,6524,193636,33692
160,Brunei,141,,1,,137,3,2,323,2,18411,42126,437047
161,Mongolia,141,,,,32,109,25,43,,12407,3791,3272661
162,Guyana,135,8,10,,62,63,2,172,13,1457,1853,786170
163,Bermuda,133,5,9,,81,43,2,2135,144,6362,102119,62300
164,Cayman Islands,129,,1,,61,67,,1965,15,8426,128363,65642
165,Cambodia,124,,,,122,2,1,7,,16416,983,16694582
166,Trinidad and Tobago,116,,8,,108,0,,83,6,2930,2094,1399036
167,Aruba,101,,3,,95,3,3,946,28,2070,19396,106721
168,Bahamas,100,,11,,45,44,1,255,28,1955,4976,392857
169,Monaco,98,,4,,90,4,2,2499,102,,,39214
170,Barbados,92,,7,,70,15,4,320,24,4664,16232,287340
171,Comoros,87,9,1,,21,65,,100,1,,,867573
172,Syria,86,16,4,,41,41,,5,0.2,,,17453396
173,Malawi,83,1,4,1,33,46,1,4,0.2,2411,126,19074564
174,Liechtenstein,82,,1,,55,26,,2151,26,900,23612,38117
175,Sint Maarten,77,,15,,59,3,1,1798,350,438,10228,42825
176,Libya,75,,3,,39,33,,11,0.4,4351,634,6861458
177,Angola,69,8,4,,18,47,,2,0.1,10000,305,32748622
178,French Polynesia,60,,,,60,0,,214,,3873,13795,280744
179,Zimbabwe,56,,4,,25,27,,4,0.3,37039,2496,14840039
180,Macao,45,,,,45,0,,69,,,,648403
181,Burundi,42,,1,,20,21,,4,0.08,284,24,11850302
182,Saint Martin,40,,3,,33,4,1,1036,78,553,14328,38595
183,Eritrea,39,,,,39,0,,11,,,,3541249
184,Botswana,35,5,1,,19,15,,15,0.4,16100,6861,2346458
185,Antigua and Barbuda,25,,3,,19,3,1,256,31,183,1870,97846
186,Gambia,25,,1,,13,11,,10,0.4,1476,613,2408973
187,Bhutan,24,,,,6,18,,31,,15293,19842,770726
188,Timor-Leste,24,,,,24,0,,18,,738,561,1315727
189,Grenada,22,,,,17,5,4,196,,3007,26736,112471
190,Namibia,21,1,,,14,7,,8,,3027,1194,2535948
191,Laos,19,,,,14,5,,3,,5487,755,7264396
192,Belize,18,,2,,16,0,,45,5,1435,3616,396850
193,Fiji,18,,,,15,3,,20,,1300,1451,895784
194,New Caledonia,18,,,,18,0,,63,,5454,19122,285215
195,Saint Lucia,18,,,,18,0,,98,,898,4893,183543
196,St. Vincent Grenadines,18,,,,14,4,,162,,209,1884,110905
197,Curaçao,17,,1,,14,2,,104,6,504,3073,164026
198,Dominica,16,,,,16,0,,222,,433,6017,71968
199,Saint Kitts and Nevis,15,,,,15,0,,282,,391,7355,53161
200,Falkland Islands,13,,,,13,0,,3749,,445,128316,3468
201,Turks and Caicos,12,,1,,10,1,,310,26,126,3259,38662
202,Greenland,12,1,,,11,1,,211,,1885,33210,56760
203,Vatican City,12,,,,2,10,,14981,,,,801
204,Montserrat,11,,1,,10,0,,2204,200,36,7212,4992
205,Suriname,11,,1,,9,1,,19,2,488,833,586092
206,Seychelles,11,,,,11,0,,112,,,,98285
207,MS Zaandam,9,,2,,,7,,,,,,0
208,Western Sahara,9,3,,,6,3,,15,,,,595704
209,British Virgin Islands,8,,1,,6,1,,265,33,167,5528,30211
210,Papua New Guinea,8,,,,8,0,,1,,2402,269,8928690
211,Caribbean Netherlands,6,,,,6,0,,229,,424,16184,26198
212,St. Barth,6,,,,6,0,,608,,137,13875,9874
213,Anguilla,3,,,,3,0,,200,,30,2001,14989
214,Lesotho,2,,,,,2,,1,,283,132,2140514
215,Saint Pierre Miquelon,1,,,,1,0,,173,,,,5797
,Total:,960418,24085,27455,387,"559,585","373,378",13789,,,,,
,Total:,1877349,25508,114169,899,"559,981","1,203,199",18270,,,,,
,Total:,631840,26874,31472,882,"242,187","358,181",10855,,,,,
,Total:,1901749,15849,169844,569,"882,607","849,298",9977,,,,,
,Total:,113656,4186,3356,89,"46,269","64,031",323,,,,,
,Total:,8722,3,123,,"8,065",534,6,,,,,
,Total:,721,,15,,651,55,4,,,,,
,Total:,5494455,96505,346434,2826,"2,299,345","2,848,676",53224,705,44.4,,,
