#,"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious, Critical",Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,"Tests/ 
1M pop",Population
38,Israel,16667,8,279,1,"13,504","2,884",48,1929,32,522632,60492,8639658
39,Japan,16385,18,771,3,"12,286","3,328",210,130,6,258277,2041,126518009
40,Austria,16353,32,633,1,"14,882",838,37,1817,70,379592,42174,9000647
41,Egypt,14229,745,680,21,"3,994","9,555",41,139,7,135000,1322,102104567
42,Dominican Republic,13477,254,446,5,"7,142","5,889",126,1244,41,59976,5535,10835483
43,Philippines,13221,279,842,5,"2,932","9,447",81,121,8,259172,2369,109411860
44,Denmark,11117,73,554,3,"9,536","1,027",25,1920,96,490782,84765,5789943
45,S. Korea,11110,32,263,,"10,066",781,15,217,5,776433,15146,51264360
46,Serbia,10833,100,235,1,"5,067","5,531",13,1239,27,196881,22524,8741130
47,Panama,9977,110,287,6,"6,194","3,496",72,2317,67,52641,12223,4306796
48,Argentina,9283,474,403,10,"2,933","5,947",154,206,9,112370,2489,45148586
49,Czechia,8721,74,304,2,"5,830","2,587",36,815,28,372341,34776,10706798
,Oceania,8686,11,121,,"7,992",573,10,,,,,
50,Norway,8281,14,234,1,32,"8,015",17,1529,43,223045,41179,5416449
51,Afghanistan,8145,492,187,9,930,"7,028",19,210,5,25700,662,38822151
52,Bahrain,7888,356,12,,"3,568","4,308",9,4656,7,255633,150906,1693992
53,Algeria,7542,165,568,7,"3,968","3,006",22,172,13,,,43757106
54,Morocco,7133,110,194,1,"4,098","2,841",1,194,5,104915,2846,36860148
55,Australia,7079,11,100,,"6,444",535,9,278,4,1111567,43649,25465832
56,Malaysia,7009,31,114,,"5,706","1,189",11,217,4,471318,14584,32317999
57,Kazakhstan,6969,218,35,,"3,734","3,200",31,372,2,571547,30481,18750814
58,Nigeria,6677,276,200,8,"1,840","4,637",7,32,1,38231,186,205514164
59,Moldova,6553,213,228,7,"2,953","3,372",251,1624,57,40565,10053,4034973
60,Finland,6443,44,304,3,"4,800","1,339",20,1163,55,156200,28196,5539776
61,Ghana,6269,173,31,,"1,898","4,340",8,202,1,184343,5948,30994975
62,Oman,6043,372,30,3,"1,661","4,352",31,1187,6,72000,14143,5090680
63,Armenia,5271,230,67,3,"2,419","2,785",10,1779,23,44071,14876,2962634
64,Bolivia,4481,218,189,15,533,"3,759",3,384,16,14803,1270,11654518
65,Luxembourg,3971,13,109,,"3,728",134,6,6356,174,64018,102465,624780
66,Cameroon,3733,204,146,6,"1,595","1,992",28,141,6,,,26464935
67,Iraq,3724,113,134,3,"2,438","1,152",,93,3,149701,3732,40113204
68,Azerbaijan,3631,113,43,2,"2,253","1,335",46,358,4,245609,24249,10128787
69,Hungary,3598,42,470,3,"1,454","1,674",29,372,49,142729,14771,9662990
70,Thailand,3034,1,56,,"2,888",90,61,43,0.8,328073,4701,69780672
71,Honduras,2955,157,147,1,349,"2,459",13,299,15,10775,1090,9886106
72,Uzbekistan,2939,84,13,,"2,372",554,6,88,0.4,460000,13767,33412612
73,Guinea,2863,,18,,"1,525","1,320",18,219,1,10304,787,13088713
74,Greece,2850,10,166,1,"1,374","1,310",22,273,16,139445,13372,10428469
75,Sudan,2728,,111,,286,"2,331",,62,3,281,6,43724769
76,Senegal,2714,97,30,,"1,186","1,498",6,163,2,24599,1474,16689519
77,Bosnia and Herzegovina,2338,17,136,2,"1,557",645,4,712,41,55624,16943,3282976
78,Bulgaria,2292,33,116,4,684,"1,492",33,330,17,68243,9814,6953938
79,Croatia,2234,2,96,,"1,978",160,8,544,23,57021,13881,4107943
80,Ivory Coast,2231,78,29,1,"1,083","1,119",,85,1,19174,729,26298323
81,Tajikistan,2140,204,41,,641,"1,458",,225,4,,,9511704
82,Guatemala,2133,132,43,5,155,"1,935",5,119,2,20820,1165,17876171
83,Cuba,1900,13,79,,"1,573",248,8,168,7,87288,7706,11327367
84,North Macedonia,1858,19,110,4,"1,367",381,21,892,53,22767,10928,2083383
85,Djibouti,1828,210,9,2,"1,052",767,,1853,9,20056,20334,986323
86,Iceland,1803,1,10,,"1,789",4,,5287,29,57628,169000,340994
87,Estonia,1794,3,64,,956,774,2,1352,48,72464,54631,1326438
88,DRC,1731,102,61,,302,"1,368",,19,0.7,,,89219290
89,Lithuania,1577,15,60,,"1,049",468,17,578,22,245580,90083,2726154
90,Somalia,1573,71,61,2,188,"1,324",2,99,4,,,15838153
91,El Salvador,1571,73,31,1,537,"1,003",27,242,5,62838,9693,6482554
92,Gabon,1567,65,12,,365,"1,190",9,706,5,7966,3589,2219341
93,New Zealand,1503,,21,,"1,447",35,1,312,4,238725,49551,4817799
94,Slovakia,1496,1,28,,"1,231",237,3,274,5,148845,27264,5459353
95,Mayotte,1475,105,19,1,894,562,11,5423,70,5200,19117,272012
96,Slovenia,1468,1,105,1,"1,340",23,4,706,51,73319,35268,2078907
97,Kyrgyzstan,1270,27,14,,910,346,5,195,2,94441,14504,6511518
98,Maldives,1186,43,4,,91,"1,091",9,2199,7,11775,21829,539417
99,Guinea-Bissau,1089,51,6,,42,"1,041",,555,3,1500,764,1962338
100,Hong Kong,1056,,4,,"1,026",26,1,141,0.5,168291,22468,7490095
101,Tunisia,1045,2,47,1,862,136,3,89,4,43723,3704,11804462
102,Kenya,1029,66,50,,366,613,1,19,0.9,49405,921,53628156
103,Sri Lanka,1028,5,9,,584,435,1,48,0.4,46413,2169,21403273
104,Latvia,1016,4,21,,694,301,3,538,11,92751,49117,1888351
105,Albania,964,15,31,,758,175,1,335,11,12555,4362,2878137
106,Lebanon,961,7,26,,251,684,4,141,4,65363,9572,6828703
107,Mali,931,30,55,2,543,333,,46,3,3483,173,20178087
108,Cyprus,922,4,17,,516,389,10,764,14,90718,75199,1206368
109,Niger,920,6,58,3,738,124,,38,2,5909,245,24093552
110,Costa Rica,897,15,10,,582,305,5,176,2,21299,4185,5088826
111,Equatorial Guinea,890,65,7,,22,861,,637,5,854,611,1397127
112,Paraguay,833,4,11,,242,580,,117,2,21542,3025,7122422
113,Zambia,832,60,7,,197,628,1,45,0.4,19014,1038,18319980
114,Venezuela,824,206,10,,262,552,1,29,0.4,616562,21676,28444595
115,Burkina Faso,809,13,52,1,661,96,,39,2,,,20832244
116,Andorra,762,1,51,,639,72,3,9864,660,3750,48543,77251
117,Uruguay,746,8,20,,588,138,4,215,6,35630,10261,3472397
,,721,,15,,651,55,4,,,,,
118,Georgia,713,6,12,,475,226,6,179,3,40711,10203,3989993
119,Diamond Princess,712,,13,,651,48,4,,,,,
120,Jordan,672,23,9,,446,217,5,66,0.9,148482,14569,10191568
121,San Marino,656,1,41,,220,395,1,19338,1209,3700,109071,33923
122,Haiti,596,63,22,1,21,553,,52,2,2270,199,11386485
123,Malta,584,15,6,,465,113,1,1323,14,54866,124296,441413
124,Sierra Leone,570,36,34,1,205,331,,72,4,,,7957533
125,Chad,565,20,57,1,177,331,,35,3,,,16367109
126,Channel Islands,558,3,45,1,492,21,,3213,259,5342,30758,173681
127,Jamaica,520,,9,,145,366,,176,3,8828,2983,2959730
128,Tanzania,509,,21,,183,305,7,9,0.4,,,59522334
129,Réunion,447,1,1,1,411,35,2,500,1,17200,19227,894592
130,Taiwan,440,,7,,402,31,,18,0.3,69876,2934,23812039
131,Nepal,427,25,2,,45,380,1,15,0.07,110566,3803,29074659
132,Congo,420,,15,,132,273,,76,3,,,5501474
133,CAR,418,52,,,18,400,,87,,10837,2248,4819836
134,Palestine,398,7,2,,346,50,,78,0.4,44876,8822,5087001
135,Ethiopia,389,24,5,,122,262,,3,0.04,65760,574,114615025
136,Madagascar,371,45,2,,131,238,,13,0.07,5670,205,27603501
137,Cabo Verde,349,14,3,,85,261,,628,5,892,1606,555294
138,Togo,340,2,12,,110,218,,41,1,14196,1720,8255121
139,Isle of Man,336,1,24,,302,10,4,3954,282,4262,50151,84983
140,Mauritius,332,,10,,322,0,,261,8,95666,75237,1271536
141,Montenegro,324,,9,,312,3,2,516,14,10167,16188,628057
142,Vietnam,324,,,,263,61,2,3,,275000,2828,97239013
143,Rwanda,314,6,,,216,98,,24,,53317,4129,12912915
144,South Sudan,290,,4,,4,282,,26,0.4,3356,300,11178612
145,Uganda,264,4,,,65,199,,6,,77456,1700,45558511
146,Nicaragua,254,,17,,199,38,,38,3,,,6615470
147,Sao Tome and Principe,251,,8,,4,239,,1148,37,175,800,218675
148,Liberia,238,5,23,,128,87,,47,5,,,5043216
149,French Guiana,237,19,1,,136,100,,796,3,,,297729
150,Eswatini,217,9,2,,97,118,,187,2,4160,3590,1158790
151,Myanmar,199,6,6,,108,85,,4,0.1,15838,291,54368782
152,Martinique,192,,14,,91,87,,512,37,,,375297
153,Faeroe Islands,187,,,,187,0,,3829,,8986,183981,48842
154,Yemen,184,17,30,2,5,149,,6,1,120,4,29746579
155,Mozambique,156,10,,,48,108,,5,,6769,217,31146622
156,Guadeloupe,155,,13,,109,33,3,387,32,2866,7163,400117
157,Gibraltar,149,2,,,145,4,,4422,,5615,166657,33692
158,Mauritania,141,10,4,,7,130,,30,0.9,2583,557,4634593
159,Brunei,141,,1,,136,4,2,323,2,17718,40545,437001
160,Mongolia,140,,,,26,114,27,43,,11641,3558,3272084
161,Benin,130,,2,,83,45,,11,0.2,26431,2187,12084074
162,Guyana,125,,10,,47,68,3,159,13,1295,1647,786129
163,Bermuda,125,,9,,80,36,2,2006,144,5719,91793,62303
164,Cambodia,122,,,,122,0,,7,,15572,933,16692053
165,Trinidad and Tobago,116,,8,,107,1,,83,6,2774,1983,1398987
166,Cayman Islands,111,,1,,55,55,,1691,15,7576,115430,65633
167,Aruba,101,,3,,95,3,4,946,28,2048,19191,106716
168,Bahamas,97,1,11,,43,43,1,247,28,1826,4648,392816
169,Monaco,97,,4,,90,3,1,2474,102,,,39211
170,Barbados,90,2,7,,70,13,4,313,24,4322,15042,287336
171,Liechtenstein,82,,1,,55,26,,2151,26,900,23612,38116
172,Sint Maarten,77,,15,,54,8,7,1798,350,425,9925,42820
173,Malawi,71,1,3,,27,41,1,4,0.2,1803,95,19069143
174,Libya,69,1,3,,35,31,,10,0.4,3633,530,6860437
175,French Polynesia,60,,,,60,0,,214,,3686,13130,280726
176,Syria,58,,3,,36,19,,3,0.2,,,17448736
177,Angola,52,,3,,17,32,,2,0.09,6136,187,32737396
178,Zimbabwe,48,2,4,,18,26,,3,0.3,28019,1888,14837674
179,Macao,45,,,,45,0,,69,,,,648306
180,Burundi,42,,1,,20,21,,4,0.08,284,24,11846415
181,Saint Martin,40,1,3,,33,4,1,1037,78,,,38588
182,Eritrea,39,,,,39,0,,11,,,,3540712
183,Comoros,34,23,1,,8,25,,39,1,,,867370
184,Antigua and Barbuda,25,,3,,19,3,1,256,31,183,1870,97837
185,Botswana,25,,1,,17,7,,11,0.4,14283,6088,2345938
186,Gambia,24,,1,,13,10,,10,0.4,1476,613,2408228
187,Timor-Leste,24,,,,24,0,,18,,738,561,1315452
188,Grenada,22,,,,17,5,4,196,,3007,26737,112465
189,Bhutan,21,,,,5,16,,27,,14294,18548,770633
190,Laos,19,,,,14,5,,3,,4743,653,7263242
191,Belize,18,,2,,16,0,,45,5,1363,3435,396771
192,Fiji,18,,,,15,3,,20,,1300,1451,895713
193,New Caledonia,18,,,,18,0,,63,,5454,19124,285185
194,Saint Lucia,18,,,,18,0,,98,,786,4283,183534
195,St. Vincent Grenadines,18,1,,,14,4,,162,,175,1578,110901
196,Curaçao,16,,1,,14,1,,98,6,485,2957,164018
197,Dominica,16,,,,16,0,,222,,433,6017,71966
198,Namibia,16,,,,14,2,,6,,2586,1020,2535445
199,Saint Kitts and Nevis,15,,,,15,0,,282,,391,7356,53157
200,Falkland Islands,13,,,,13,0,,3750,,426,122873,3467
201,Turks and Caicos,12,,1,,10,1,,310,26,109,2820,38656
202,Vatican City,12,,,,2,10,,14981,,,,801
203,Montserrat,11,,1,,10,0,,2204,200,36,7212,4992
204,Suriname,11,,1,,9,1,,19,2,404,689,586035
205,Greenland,11,,,,11,0,,194,,1767,31132,56759
206,Seychelles,11,,,,11,0,,112,,,,98279
207,MS Zaandam,9,,2,,,7,,,,,,
208,British Virgin Islands,8,,1,,6,1,,265,33,167,5528,30208
209,Papua New Guinea,8,,,,8,0,,1,,2402,269,8926835
210,Caribbean Netherlands,6,,,,6,0,,229,,357,13629,26195
211,St. Barth,6,,,,6,0,,608,,,,9874
212,Western Sahara,6,,,,6,0,,10,,,,595543
213,Anguilla,3,,,,3,0,,200,,,,14988
214,Lesotho,1,,,,,1,,0,,,,2140328
215,Saint Pierre Miquelon,1,,,,1,0,,173,,,,5797
,Total:,863458,22336,25853,353,"500,597","337,008",5011,,,,,
,Total:,1762801,26705,107817,1875,"465,993","1,188,991",18978,,,,,
,Total:,1830667,15229,165798,1224,"812,487","852,382",10927,,,,,
,Total:,520088,32431,26625,1147,"193,731","299,732",10583,,,,,
,Total:,96990,3762,3010,86,"39,428","54,552",287,,,,,
,Total:,8686,11,121,,"7,992",573,10,,,,,
,Total:,721,,15,,651,55,4,,,,,
,Total:,5083411,100474,329239,4685,"2,020,879","2,733,293",45800,652,42.2,,,
